Program Name,Age,Location,Day,Time,"Start Date","# of Classes","Course Code",Fee
Models in Training,9 - 12 yrs,Milliken Mills C.C.,Thu.,7:00 p.m. - 8:00 p.m.,Jan. 21,7,272276,$62
Museum - Clay Creations,7 - 12 yrs,Markham Museum,Sun.,1:00 p.m. - 3:00 p.m.,Jan. 10,6,273258,$200
Museum - P.A. Day at the Museum,4 - 10 yrs,Markham Museum,Fri.,8:00 a.m. - 6:00 p.m.,Jan. 15,1,273255,$54
"","",Markham Museum,Mon.,8:00 a.m. - 6:00 p.m.,Feb. 1,1,273256,$54
P. A. Day -Abacus and Sports Camp,6 - 10 yrs,Angus Glen C.C.,Mon.,9:00 a.m. - 4:00 p.m.,Feb. 1,1,271390,$33
P.A. Day - Computer Animation,6 - 12 yrs,Angus Glen Library,Fri.,9:00 a.m. - 4:00 p.m.,Jan. 15,1,270854,$85
P.A. Day - Invent  with Makey Makey,8 - 12 yrs,Markham Village Library,Mon.,9:00 a.m. - 4:00 p.m.,Feb. 1,1,269765,$85
P.A. Day Camp,4 - 12 yrs,Armadale C.C.,Fri.,9:00 a.m. - 4:00 p.m.,Nov. 27,1,271289,$46
"","",Armadale C.C.,Fri.,9:00 a.m. - 4:00 p.m.,Jan. 15,1,271285,$46
"","",Armadale C.C.,Mon.,9:00 a.m. - 4:00 p.m.,Feb. 1,1,271286,$46
"","",Armadale C.C.,Fri.,9:00 a.m. - 4:00 p.m.,Jun. 3,1,271288,$46
"","",Armadale C.C.,Thu.,9:00 a.m. - 4:00 p.m.,Jun. 30,1,271291,$46
"",6 - 12 yrs,Mount Joy C.C.,Fri.,9:00 a.m. - 4:00 p.m.,Jan. 15,1,271222,$46
"","",Mount Joy C.C.,Fri.,9:00 a.m. - 4:00 p.m.,Feb. 5,1,271223,$46
P.A. Day -Chess Tournament,6 - 10 yrs,Angus Glen C.C.,Fri.,9:00 a.m. - 12:00 p.m.,Jan. 15,1,271391,$21
P.A. Day Workshop - Lego Camp,6 - 12 yrs,Angus Glen C.C.,Fri.,1:00 p.m. - 4:00 p.m.,Jan. 15,1,271392,$25
"","",Centennial C.C.,Fri.,9:30 a.m. - 3:30 p.m.,Jan. 15,1,271226,$46
