Program Name,Age,Location,Day,Time,Start Date,# of Classes,Course Code,Fee
"",8 mths - 1 yr ,Markham Village C.C. ,Mon. ,1:00 p.m. - 2:30 p.m. ,Jan. 4 ,9 ,273629 ,$80
"",1 - 2 yrs ,Thornhill C.C. ,Mon. ,11:30 a.m. - 12:30 p.m. ,Jan. 4 ,10 ,274624 ,$88.50
Little Picaso’s ,3 - 5 yrs ,Centennial C.C. ,Wed. ,9:30 a.m. - 10:30 a.m. ,Jan. 6 ,10 ,273630 ,$76.50
"",3 - 5 yrs ,Centennial C.C. ,Wed. ,4:00 p.m. - 5:00 p.m. ,Jan. 6 ,10 ,273631 ,$76.50
Little Sneakers ,3 - 5 yrs ,Centennial C.C. ,Tue. ,1:00 p.m. - 2:30 p.m. ,Jan. 5 ,10 ,273632 ,$97
"",3 - 5 yrs ,Centennial C.C. ,Fri. ,9:15 a.m. - 10:45 a.m. ,Jan. 8 ,10 ,273633 ,$97
"",3 - 5 yrs ,Cornell C.C. ,Tue. ,1:00 p.m. - 2:30 p.m. ,Jan. 5 ,10 ,273761 ,$97
Magic of Dinosaurs ,2 - 4 yrs ,Cornell C.C. ,Wed. ,10:00 a.m. - 11:30 a.m. ,Jan. 6 ,10 ,273762 ,$97
Mini Chefs ,3 - 5 yrs ,Angus Glen C.C. ,Fri. ,1:00 p.m. - 2:30 p.m. ,Jan. 8 ,10 ,274051 ,$114
"","",Angus Glen C.C. ,Sat. ,9:30 a.m. - 11:00 a.m. ,Jan. 9 ,8 ,274052 ,$89.50
"","",Armadale C.C. ,Mon. ,5:30 p.m. - 7:00 p.m. ,Jan. 11 ,8 ,275246 ,$89.50
"","",Armadale C.C. ,Sat. ,10:00 a.m. - 11:30 a.m. ,Jan. 16 ,8 ,275242 ,$89.50
"","",Armadale C.C. ,Sun. ,10:00 a.m. - 11:30 a.m. ,Jan. 17 ,8 ,275244 ,$89.50
"","",Centennial C.C. ,Mon. ,9:30 a.m. - 11:00 a.m. ,Jan. 4 ,8 ,273636 ,$89.50
